id,tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan
2925704.0,-3,-1,357
2925705.0,-3,-1,-1
2925706.0,6,1162641874,27
2925707.0,-3,-1,-1
2925708.0,-3,-1,-1
2925709.0,-3,-1,357
2925710.0,-3,-1,-1
2925711.0,6,1162641874,27
2925712.0,-3,-1,-1
2925713.0,-3,-1,357
2925714.0,-3,-1,-1
2925715.0,-3,-1,-1
2925716.0,-3,-1,357
2925717.0,2,1361270216,421
2925718.0,-3,-1,-1
2925719.0,2,1361270216,421
2925720.0,2,-1,-1
2925721.0,-3,-1,-1
2925722.0,2,-1,-1
2925723.0,-3,-1,-1
2925724.0,2,-1,-1
2925725.0,2,-1,4
2925726.0,-3,-1,-1
2925727.0,-3,-1,-1
2925728.0,-3,-1,-1
2925729.0,-3,-1,-1
2925730.0,2,-1,-1
2925731.0,2,-1,4
2925732.0,-3,-1,-1
2925733.0,-3,-1,-1
2925734.0,2,-1,4
2925735.0,-3,-1,-1
2925736.0,1,-1,-1
2925737.0,-3,-1,-1
2925738.0,5,4491314039,56
2925739.0,2,-1,4
2925740.0,1,1469998800,15
2925741.0,-3,-1,-1
2925742.0,-3,-1,-1
2925743.0,-3,-1,-1
2925744.0,1,-1,-1
2925745.0,-3,-1,-1
2925746.0,5,4491314039,56
2925747.0,1,1469998800,15
2925748.0,-3,-1,-1
2925749.0,-3,-1,-1
2925750.0,2,707319423,223
2925751.0,-3,-1,-1
2925752.0,-3,-1,-1
2925753.0,2,707319423,223
2925754.0,-3,-1,-1
2925755.0,2,707319423,223
2925756.0,-3,-1,-1
2925757.0,2,707319423,223
2925758.0,-3,-1,-1
2925759.0,2,-1,-1
2925760.0,-3,-1,-1
2925761.0,-3,-1,-1
2925762.0,2,-1,-1
2925763.0,-3,-1,-1
2925764.0,3,-1,0
2925765.0,2,-1,-1
2925766.0,-3,-1,-1
2925767.0,2,-1,-1
2925768.0,-3,-1,-1
2925769.0,3,-1,0
2925770.0,-3,-1,-1
2925771.0,2,-1,-1
2925772.0,3,-1,-1
2925773.0,2,-1,-1
2925774.0,-3,-1,-1
2925775.0,-3,-1,-1
2925776.0,3,-1,0
2925777.0,-3,-1,-1
2925778.0,-3,-1,-1
2925779.0,3,-1,-1
2925780.0,-3,-1,-1
2925781.0,3,-1,0
2925782.0,-3,-1,-1
2925783.0,2,-1,-1
2925784.0,-3,-1,-1
2925785.0,3,-1,-1
2925786.0,2,-1,-1
2925787.0,3,-1,-1
2925788.0,-3,-1,299
2925789.0,-3,-1,-1
2925790.0,-3,-1,299
2925791.0,-3,-1,-1
2925792.0,4,-1,51
2925793.0,-3,-1,299
2925794.0,-3,-1,-1
2925795.0,-3,-1,299
2925796.0,4,-1,51
2925797.0,-3,-1,-1
2925798.0,-3,-1,-1
2925799.0,-3,-1,-1
2925800.0,4,-1,51
2925801.0,4,-1,51
2925802.0,2,-1,-1
2925803.0,-3,-1,-1
2925804.0,-3,-1,-1
2925805.0,-3,-1,-1
2925806.0,2,-1,-1
2925807.0,-3,-1,-1
2925808.0,-3,-1,-1
2925809.0,-3,-1,-1
2925810.0,2,-1,-1
2925811.0,-3,-1,-1
2925812.0,2,-1,-1
2925813.0,-3,-1,-1
2925814.0,-3,-1,-1
2925815.0,-3,-1,-1
2925816.0,-3,-1,-1
2925817.0,1,1121317,70
2925818.0,-3,-1,-1
2925819.0,-3,-1,-1
2925820.0,1,1121317,70
2925821.0,-3,-1,-1
2925822.0,-3,-1,-1
2925823.0,-3,-1,-1
2925824.0,-3,-1,-1
2925825.0,-3,-1,-1
2925826.0,-3,-1,-1
2925827.0,1,1121317,70
2925828.0,-3,-1,-1
2925829.0,-3,-1,-1
2925830.0,1,1121317,70
2925831.0,-3,-1,-1
2925832.0,-3,-1,-1
2925833.0,-3,-1,-1
2925834.0,-3,-1,-1
2925835.0,-3,-1,-1
2925836.0,-3,-1,-1
2925837.0,-3,-1,-1
2925838.0,9,953687751,74
2925839.0,-3,426275198,139
2925840.0,-3,-1,-1
2925841.0,-3,426275198,139
2925842.0,9,953687751,74
2925843.0,-3,-1,-1
2925844.0,14,1148778676,54
2925845.0,9,953687751,74
2925846.0,-3,-1,-1
2925847.0,14,1148778676,54
2925848.0,9,953687751,74
2925849.0,-3,-1,-1
2925850.0,-3,-1,-1
2925851.0,14,1148778676,54
2925852.0,-3,-1,-1
2925853.0,14,1148778676,54
2925854.0,1,250000000,84
2925855.0,-3,-1,-1
2925856.0,1,250000000,84
2925857.0,-3,-1,-1
2925858.0,1,250000000,84
2925859.0,-3,-1,-1
2925860.0,1,250000000,84
2925861.0,-3,-1,-1
2925862.0,-3,-1,-1
2925863.0,-3,-1,-1
2925864.0,-3,-1,-1
2925865.0,-3,-1,-1
2925866.0,-3,-1,-1
2925867.0,-3,-1,-1
2925868.0,-3,-1,-1
2925869.0,5,32700000000,13
2925870.0,-3,-1,-1
2925871.0,-3,-1,-1
2925872.0,5,32700000000,13
2925873.0,-3,-1,-1
2925874.0,-3,-1,-1
2925875.0,6,-1,-1
2925876.0,-3,-1,187
2925877.0,-3,-1,-1
2925878.0,-3,-1,-1
2925879.0,-3,-1,-1
2925880.0,-3,-1,-1
2925881.0,6,-1,-1
2925882.0,-3,-1,187
2925883.0,-3,-1,-1
2925884.0,-3,-1,-1
2925885.0,-3,-1,-1
2925886.0,-3,-1,-1
2925887.0,6,-1,-1
2925888.0,-3,-1,-1
2925889.0,-3,-1,-1
2925890.0,6,-1,-1
2925891.0,-3,-1,-1
2925892.0,-3,-1,-1
2925893.0,8,-1,4
2925894.0,-3,-1,-1
2925895.0,-3,-1,-1
2925896.0,-3,-1,-1
2925897.0,8,-1,4
2925898.0,-3,-1,-1
2925899.0,3,-1,0
2925900.0,1,1483485809,294
2925901.0,8,-1,4
2925902.0,3,-1,0
2925903.0,8,-1,4
2925904.0,1,1483485809,294
2925905.0,-3,-1,-1
2925906.0,-3,-1,-1
2925907.0,1,-1,-1
2925908.0,-3,-1,-1
2925909.0,-3,-1,-1
2925910.0,-3,-1,-1
2925911.0,1,-1,-1
2925912.0,-3,-1,-1
2925913.0,-3,-1,-1
2925914.0,-3,-1,-1
2925915.0,-3,-1,-1
2925916.0,-3,-1,-1
2925917.0,1,-1,-1
2925918.0,-3,-1,-1
2925919.0,2,-1,-1
2925920.0,-3,-1,-1
2925921.0,1,-1,-1
2925922.0,-3,-1,-1
2925923.0,-3,-1,-1
2925924.0,-3,-1,-1
2925925.0,2,-1,-1
2925926.0,-3,-1,-1
2925927.0,-3,-1,-1
2925928.0,-3,3281945205,151
2925929.0,-3,-1,195
2925930.0,-3,-1,-1
2925931.0,-3,-1,-1
2925932.0,-3,-1,-1
2925933.0,-3,-1,-1
2925934.0,-3,-1,-1
2925935.0,1,491809096,118
2925936.0,-3,-1,-1
2925937.0,-3,-1,195
2925938.0,-3,-1,-1
2925939.0,-3,3281945205,151
2925940.0,-3,-1,-1
2925941.0,-3,-1,-1
2925942.0,-3,-1,-1
2925943.0,-3,-1,-1
2925944.0,1,491809096,118
2925945.0,-3,-1,-1
2925946.0,-3,-1,-1
2925947.0,-3,3281945205,151
2925948.0,1,-1,-1
2925949.0,-3,3281945205,151
2925950.0,-3,-1,-1
2925951.0,1,-1,-1
2925952.0,-3,-1,-1
2925953.0,13,3319227081,71
2925954.0,13,3319227081,71
2925955.0,1,-1,-1
2925956.0,1,-1,-1
2925957.0,-3,-1,-1
2925958.0,-3,-1,-1
2925959.0,-3,-1,-1
2925960.0,2,4681739639,88
2925961.0,4,1923205715,168
2925962.0,2,10435758829,172
2925963.0,-3,-1,-1
2925964.0,-3,-1,-1
2925965.0,2,4681739639,88
2925966.0,4,1923205715,168
2925967.0,2,10435758829,172
2925968.0,-3,-1,-1
2925969.0,-3,-1,-1
2925970.0,-3,-1,-1
2925971.0,2,10435758829,172
2925972.0,4,1923205715,168
2925973.0,2,10435758829,172
2925974.0,4,1923205715,168
2925975.0,-3,-1,-1
2925976.0,-3,-1,-1
2925977.0,-3,-1,-1
2925978.0,-3,-1,-1
2925979.0,-3,-1,-1
2925980.0,-3,-1,-1
2925981.0,-3,-1,-1
2925982.0,2,-1,-1
2925983.0,-3,-1,-1
2925984.0,2,-1,-1
2925985.0,-3,-1,-1
2925986.0,2,-1,-1
2925987.0,-3,-1,-1
2925988.0,2,-1,-1
2925989.0,-3,-1,-1
2925990.0,-3,-1,-1
2925991.0,-3,11942774100,95
2925992.0,-3,-1,-1
2925993.0,-3,-1,-1
2925994.0,-3,-1,-1
2925995.0,-3,11942774100,95
2925996.0,-3,-1,-1
2925997.0,-3,1494204,1023
2925998.0,-3,11942774100,95
2925999.0,-3,1494204,1023
2926000.0,-3,11942774100,95
2926001.0,-3,-1,-1
2926002.0,-3,-1,-1
2926003.0,-3,-1,-1
2926004.0,-3,-1,-1
2926005.0,-3,-1,-1
2926006.0,-3,-1,-1
2926007.0,-3,-1,-1
2926008.0,2,-1,-1
2926009.0,-3,-1,-1
2926010.0,2,-1,-1
2926011.0,-3,-1,-1
2926012.0,-3,-1,-1
2926013.0,2,-1,-1
2926014.0,2,-1,-1
2926015.0,-3,-1,-1
2926016.0,-3,-1,187
2926017.0,-3,-1,-1
2926018.0,-3,-1,187
2926019.0,6,-1,-1
2926020.0,6,-1,-1
2926021.0,1,-1,-1
2926022.0,-3,-1,-1
2926023.0,1,-1,-1
2926024.0,5,2655000001,68
2926025.0,-3,-1,-1
2926026.0,5,2655000001,68
2926027.0,-3,-1,-1
2926028.0,-3,-1,-1
2926029.0,-3,-1,-1
2926030.0,1,250000000,84
2926031.0,-3,-1,-1
2926032.0,1,250000000,84
2926033.0,-3,-1,-1
2926034.0,-3,-1,-1
2926035.0,-3,-1,-1
2926036.0,-3,-1,-1
2926037.0,5,-1,8
2926038.0,-3,-1,-1
2926039.0,5,-1,8
2926040.0,-3,-1,-1
2926041.0,2,-1,-1
2926042.0,-3,-1,-1
2926043.0,34,1046032985,48
2926044.0,1,-1,-1
2926045.0,5,-1,8
2926046.0,-3,-1,-1
2926047.0,-3,-1,-1
2926048.0,2,-1,-1
2926049.0,-3,-1,-1
2926050.0,-3,-1,-1
2926051.0,34,1046032985,48
2926052.0,1,-1,-1
2926053.0,5,-1,8
2926054.0,-3,-1,-1
2926055.0,-3,-1,-1
2926056.0,2,-1,-1
2926057.0,-3,-1,-1
2926058.0,34,1046032985,48
2926059.0,-3,-1,-1
2926060.0,2,-1,-1
2926061.0,-3,-1,-1
2926062.0,-3,-1,-1
2926063.0,34,1046032985,48
2926064.0,-3,-1,-1
2926065.0,-3,-1,-1
2926066.0,-3,7269311925,1778
2926067.0,-3,-1,-1
2926068.0,-3,-1,-1
2926069.0,18,3055510510,15
2926070.0,-3,7269311925,1778
2926071.0,18,3055510510,15
2926072.0,-3,-1,-1
2926073.0,-3,-1,-1
2926074.0,-3,-1,-1
2926075.0,-3,967499164,172
2926076.0,-3,-1,-1
2926077.0,-3,-1,-1
2926078.0,-3,-1,-1
2926079.0,-3,-1,-1
2926080.0,-3,-1,-1
2926081.0,-3,967499164,172
2926082.0,-3,-1,-1
2926083.0,-3,-1,-1
2926084.0,-3,-1,-1
2926085.0,-3,-1,-1
2926086.0,-3,-1,-1
2926087.0,-3,-1,-1
2926088.0,1,259607921,267
2926089.0,1,259607921,267
2926090.0,-3,297334099,257
2926091.0,-3,-1,-1
2926092.0,-3,297334099,257
2926093.0,-3,-1,-1
2926094.0,-3,297334099,257
2926095.0,-3,-1,-1
2926096.0,-3,297334099,257
2926097.0,-3,-1,-1
2926098.0,-3,-1,-1
2926099.0,-3,-1,-1
2926100.0,-3,-1,-1
2926101.0,-3,2845763433,146
2926102.0,-3,2845763433,146
2926103.0,-3,-1,-1
2926104.0,9,737240233,39
2926105.0,2,-1,-1
2926106.0,-3,-1,-1
2926107.0,2,-1,-1
2926108.0,-3,-1,-1
2926109.0,9,737240233,39
2926110.0,-3,-1,-1
2926111.0,-3,297334099,257
2926112.0,-3,-1,-1
2926113.0,2,-1,-1
2926114.0,-3,297334099,257
2926115.0,-3,18187711912,833
2926116.0,-3,-1,-1
2926117.0,2,-1,-1
2926118.0,-3,-1,-1
2926119.0,-3,-1,-1
2926120.0,2,-1,-1
2926121.0,-3,-1,-1
2926122.0,-3,-1,-1
2926123.0,2,-1,-1
2926124.0,-3,18187711912,833
2926125.0,-3,-1,-1
2926126.0,-3,-1,-1
2926127.0,-3,-1,-1
2926128.0,-3,-1,-1
2926129.0,-3,18187711912,833
2926130.0,-3,-1,-1
2926131.0,-3,-1,-1
2926132.0,-3,-1,-1
2926133.0,-3,18187711912,833
2926134.0,-3,-1,-1
2926135.0,-3,-1,-1
2926136.0,-3,-1,-1
2926137.0,-3,-1,-1
2926138.0,34,1046032985,48
2926139.0,-3,-1,-1
2926140.0,-3,-1,-1
2926141.0,34,1046032985,48
2926142.0,-3,-1,-1
2926143.0,-3,-1,-1
2926144.0,-3,-1,-1
2926145.0,-3,-1,-1
2926146.0,-3,-1,-1
2926147.0,-3,-1,-1
2926148.0,-3,-1,-1
2926149.0,-3,-1,-1
2926150.0,-3,-1,-1
2926151.0,-3,-1,-1
2926152.0,-3,-1,-1
2926153.0,-3,-1,-1
2926154.0,-3,-1,-1
2926155.0,-3,505555560,309
2926156.0,-3,-1,-1
2926157.0,-3,-1,-1
2926158.0,-3,-1,-1
2926159.0,2,-1,-1
2926160.0,-3,-1,-1
2926161.0,-3,505555560,309
2926162.0,-3,-1,-1
2926163.0,-3,-1,-1
2926164.0,-3,-1,-1
2926165.0,-3,-1,-1
2926166.0,-3,505555560,309
2926167.0,2,-1,-1
2926168.0,-3,-1,-1
2926169.0,-3,-1,-1
2926170.0,-3,505555560,309
2926171.0,-3,-1,-1
2926172.0,2,-1,-1
2926173.0,-3,-1,-1
2926174.0,-3,-1,-1
2926175.0,2,-1,-1
2926176.0,-3,-1,-1
2926177.0,-3,-1,-1
2926178.0,-3,-1,-1
2926179.0,-3,-1,-1
2926180.0,-3,-1,-1
2926181.0,-3,-1,-1
2926182.0,-3,-1,-1
2926183.0,-3,-1,-1
2926184.0,2,1766563873,155
2926185.0,-3,-1,-1
2926186.0,2,1766563873,155
2926187.0,-3,-1,-1
2926188.0,-3,-1,-1
2926189.0,2,-1,-1
2926190.0,-3,-1,-1
2926191.0,2,-1,-1
2926192.0,-3,-1,-1
2926193.0,4,1930703189,49
2926194.0,4,1930703189,49
2926195.0,2,-1,-1
2926196.0,2,-1,-1
2926197.0,-3,-1,-1
2926198.0,-3,-1,-1
2926199.0,-3,217320883,729
2926200.0,-3,-1,-1
2926201.0,-3,217320883,729
2926202.0,-3,-1,-1
2926203.0,-3,-1,-1
2926204.0,-3,-1,-1
2926205.0,-3,217320883,729
2926206.0,-3,-1,-1
2926207.0,-3,-1,-1
2926208.0,-3,-1,-1
2926209.0,-3,-1,-1
